Fe,Cr,Ni,Mo,Mn,Si,Cu,S,P,C,N,O,Nb,Ti,W,Co,V,Al,Zr,Ta,Ce,Re,B,MfgRoute,T[oC],t[hr],EtoJ,Rrp,Process_Original,Coolingmedium_Original,Solution_Original,Process_Clustered,Coolingmedium_Clustered,Solution_Clustered
64.84,18.4,0.0,0.0,15.8,0.24,0.0,0.005,0.017,0.044,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900,1.0,0.01115,0.01115,Solution aging,Water Quenching,3.5 wt% NaCl,Processed/Treated,Water-based Cooling,Chloride/Saline Solution
59.73,25.3,7.1,2.1,0.86,0.69,0.0,0.0,0.0,0.03,0.25,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,600,0.0166,0.02727,0.02727,Solution aging,Water Quenching,H2SO4,Processed/Treated,Water-based Cooling,Acidic Solution
59.73,25.3,7.1,2.1,0.86,0.69,0.0,0.0,0.0,0.03,0.25,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,600,0.033,0.0263,0.0263,Solution aging,Water Quenching,H2SO4,Processed/Treated,Water-based Cooling,Acidic Solution
59.73,25.3,7.1,2.1,0.86,0.69,0.0,0.0,0.0,0.03,0.25,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,600,0.166,0.10909,0.091220878,Solution aging,Water Quenching,H2SO4,Processed/Treated,Water-based Cooling,Acidic Solution
59.73,25.3,7.1,2.1,0.86,0.69,0.0,0.0,0.0,0.03,0.25,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,600,0.5,0.0288,0.0288,Solution aging,Water Quenching,H2SO4,Processed/Treated,Water-based Cooling,Acidic Solution
59.73,25.3,7.1,2.1,0.86,0.69,0.0,0.0,0.0,0.03,0.25,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,600,1.0,0.1076,0.09265992,Solution aging,Water Quenching,H2SO4,Processed/Treated,Water-based Cooling,Acidic Solution
59.73,25.3,7.1,2.1,0.86,0.69,0.0,0.0,0.0,0.03,0.25,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,600,2.0,0.1142,0.08628564000000001,Solution aging,Water Quenching,H2SO4,Processed/Treated,Water-based Cooling,Acidic Solution
66.803,12.41,2.59,4.43,0.1,0.053,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.005,0.98,12.3,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1,400,4.0,0.098,0.098,Tempering,Oil Quenching,0.1 mol/L Na2SO4 + 0.017 mol/L NaCl,Processed/Treated,Oil-based Cooling,Chloride/Saline Solution
66.803,12.41,2.59,4.43,0.1,0.053,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.005,0.98,12.3,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1,520,4.0,0.095,0.095,Tempering,Oil Quenching,0.1 mol/L Na2SO4 + 0.017 mol/L NaCl,Processed/Treated,Oil-based Cooling,Chloride/Saline Solution
66.803,12.41,2.59,4.43,0.11,0.053,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.006,0.98,12.3,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1,600,4.0,0.096,0.096,Tempering,Oil Quenching,0.1 mol/L Na2SO4 + 0.017 mol/L NaCl,Processed/Treated,Oil-based Cooling,Chloride/Saline Solution
66.803,12.41,2.59,4.43,0.1,0.053,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.005,0.98,12.3,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1,400,4.0,0.0951,0.0951,Tempering,Oil Quenching,0.1 mol/L Na2SO4 + 0.17 mol/L NaCl,Processed/Treated,Oil-based Cooling,Chloride/Saline Solution
66.803,12.41,2.59,4.43,0.11,0.053,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.006,0.98,12.3,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1,520,4.0,0.1164,0.08416088000000001,Tempering,Oil Quenching,0.1 mol/L Na2SO4 + 0.17 mol/L NaCl,Processed/Treated,Oil-based Cooling,Chloride/Saline Solution
66.803,12.41,2.59,4.43,0.1,0.053,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.005,0.98,12.3,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1,600,4.0,0.0931,0.0931,Tempering,Oil Quenching,0.1 mol/L Na2SO4 + 0.17 mol/L NaCl,Processed/Treated,Oil-based Cooling,Chloride/Saline Solution
97.03,0.223,0.278,0.184,1.771,0.197,0.22,0.002,0.012,0.036,0.005,0.0,0.0,0.019,0.0,0.0,0.001,0.021,0.0,0.0,,0.0,0.0,1,1300,0.1667,0.103125,0.09698187500000001,Normalizing,Air Cooling,acidic soil,Processed/Treated,Air/Furnace Cooling,Acidic Solution
97.03,0.223,0.278,0.184,1.771,0.197,0.22,0.002,0.012,0.036,0.005,0.0,0.0,0.019,0.0,0.0,0.001,0.021,0.0,0.0,0.0,0.0,0.0,1,1300,0.1667,0.09937,0.09937,Solution annealing,Air Cooling,acidic soil,Processed/Treated,Air/Furnace Cooling,Acidic Solution
